순위	행정구역	명
1	제주특별자치도 서귀포시 송산동	3,827.00
2	제주특별자치도 서귀포시 대륜동	2,766.60
3	제주특별자치도 서귀포시 안덕면	1,811.50
4	제주특별자치도 서귀포시 서홍동	1,639.83
5	제주특별자치도 서귀포시 효돈동	1,622.33
6	제주특별자치도 서귀포시 동홍동	1,373.19
7	제주특별자치도 서귀포시 남원읍	1,066.06
8	제주특별자치도 서귀포시 표선면	933.83
9	제주특별자치도 서귀포시 성산읍	922.87
10	제주특별자치도 서귀포시 대천동	810.00
11	제주특별자치도 서귀포시 대정읍	773.35
12	제주특별자치도 서귀포시 중문동	639.00
13	제주특별자치도 서귀포시 천지동	150.48
14	제주특별자치도 서귀포시 정방동	109.44
15	제주특별자치도 서귀포시 중앙동	65.84
16	제주특별자치도 서귀포시 영천동	0.00
17	제주특별자치도 서귀포시 예래동	0.00
